crsp_fundno,date,mtna,mret,mnav,ticker,tm
29873,31may2016,376.1,.0218892,51.82,"TVAFX",2016m5
29873,30jun2016,368.7,-.0071401,51.45,"TVAFX",2016m6
29873,29jul2016,379.5,.0396501,53.49,"TVAFX",2016m7
29873,31aug2016,374.4,.0028043,53.64,"TVAFX",2016m8
29873,30sep2016,374.5,.0113635,54.08,"TVAFX",2016m9
29873,31oct2016,363.1,-.0177515,53.12,"TVAFX",2016m10
29873,30nov2016,350.3,.0280497,54.61,"TVAFX",2016m11
29873,30dec2016,351,.0088042,55.07,"TVAFX",2016m12
29873,31jan2017,354.6,.0225168,56.31,"TVAFX",2017m1
29873,28feb2017,362.3,.0378263,58.44,"TVAFX",2017m2
29873,31mar2017,355.3,.0157426,59.36,"TVAFX",2017m3
29873,28apr2017,362,.0288073,61.07,"TVAFX",2017m4
29873,31may2017,372.1,.0185034,62.2,"TVAFX",2017m5
29873,30jun2017,377.5,.0133441,63.03,"TVAFX",2017m6
29873,31jul2017,381.8,.016976,64.1,"TVAFX",2017m7
29873,31aug2017,381.7,.0067083,64.53,"TVAFX",2017m8
29873,29sep2017,383.1,.0113126,65.26,"TVAFX",2017m9
29873,31oct2017,383,.0160895,66.31,"TVAFX",2017m10
29873,30nov2017,388.4,.0221686,67.78,"TVAFX",2017m11
29873,29dec2017,386,.0020303,67.56,"TVAFX",2017m12
30592,31jan2000,394.2,-.0671819,15.69,"BPEQX",2000m1
30592,29feb2000,308,-.0815806,14.41,"BPEQX",2000m2
30592,31mar2000,259.1,.0992366,15.84,"BPEQX",2000m3
30592,28apr2000,258,.0397727,16.47,"BPEQX",2000m4
30592,31may2000,208.8,.0085003,16.61,"BPEQX",2000m5
30592,30jun2000,169.4,-.0325105,16.07,"BPEQX",2000m6
30592,31jul2000,143.6,.0037337,16.13,"BPEQX",2000m7
30592,31aug2000,142.6,.0638562,17.16,"BPEQX",2000m8
30592,29sep2000,132.1,-.0343823,16.57,"BPEQX",2000m9
30592,31oct2000,132.7,.033796,17.13,"BPEQX",2000m10
30592,30nov2000,126.6,-.0251022,16.7,"BPEQX",2000m11
30592,29dec2000,130.1,.0397626,15.68,"BPEQX",2000m12
30592,31jan2001,142,.0465561,16.41,"BPEQX",2001m1
30592,28feb2001,136.8,-.0377818,15.79,"BPEQX",2001m2
30592,30mar2001,128.7,-.0449652,15.08,"BPEQX",2001m3
30592,30apr2001,128.9,.0550398,15.91,"BPEQX",2001m4
30592,31may2001,128.3,.0276556,16.35,"BPEQX",2001m5
30592,29jun2001,126,-.0158828,16.07,"BPEQX",2001m6
30592,31jul2001,123.8,-.0068451,15.96,"BPEQX",2001m7
30592,31aug2001,120.1,-.0369674,15.37,"BPEQX",2001m8
30592,28sep2001,110.1,-.0878334,14.02,"BPEQX",2001m9
